0.level	 Min Weight: 472,690 	Average :479,275
1.level	 Min Weight: 472,690 	Average :478,410
2.level	 Min Weight: 471,960 	Average :477,762
3.level	 Min Weight: 471,960 	Average :476,929
4.level	 Min Weight: 471,390 	Average :475,871
5.level	 Min Weight: 471,010 	Average :474,716
6.level	 Min Weight: 471,010 	Average :473,642
7.level	 Min Weight: 470,560 	Average :472,747
8.level	 Min Weight: 469,880 	Average :472,013
9.level	 Min Weight: 469,880 	Average :471,505
10.level	 Min Weight: 470,150 	Average :471,296
11.level	 Min Weight: 469,790 	Average :471,096
12.level	 Min Weight: 469,540 	Average :470,851
13.level	 Min Weight: 469,150 	Average :470,524
14.level	 Min Weight: 469,150 	Average :470,270
15.level	 Min Weight: 469,150 	Average :470,074
16.level	 Min Weight: 468,510 	Average :469,881
17.level	 Min Weight: 467,720 	Average :469,572
18.level	 Min Weight: 467,710 	Average :469,355
19.level	 Min Weight: 467,710 	Average :469,003
20.level	 Min Weight: 467,650 	Average :468,699
21.level	 Min Weight: 466,940 	Average :468,432
22.level	 Min Weight: 467,030 	Average :468,321
23.level	 Min Weight: 466,630 	Average :468,063
24.level	 Min Weight: 467,000 	Average :468,134
25.level	 Min Weight: 467,000 	Average :467,925
26.level	 Min Weight: 466,500 	Average :467,740
27.level	 Min Weight: 466,500 	Average :467,488
28.level	 Min Weight: 466,360 	Average :467,353
29.level	 Min Weight: 466,080 	Average :467,163
30.level	 Min Weight: 465,740 	Average :467,019
31.level	 Min Weight: 465,440 	Average :466,861
32.level	 Min Weight: 465,440 	Average :466,803
33.level	 Min Weight: 465,440 	Average :466,560
34.level	 Min Weight: 465,310 	Average :466,512
35.level	 Min Weight: 465,200 	Average :466,375
36.level	 Min Weight: 465,200 	Average :466,217
37.level	 Min Weight: 464,900 	Average :466,190
38.level	 Min Weight: 464,220 	Average :465,839
39.level	 Min Weight: 463,870 	Average :465,755
40.level	 Min Weight: 463,870 	Average :465,804
41.level	 Min Weight: 464,110 	Average :465,582
42.level	 Min Weight: 464,110 	Average :465,198
43.level	 Min Weight: 463,430 	Average :465,026
44.level	 Min Weight: 463,150 	Average :464,818
45.level	 Min Weight: 463,150 	Average :464,466
46.level	 Min Weight: 463,150 	Average :464,223
47.level	 Min Weight: 463,150 	Average :463,944
48.level	 Min Weight: 463,150 	Average :463,844
49.level	 Min Weight: 463,050 	Average :463,446
50.level	 Min Weight: 463,050 	Average :463,655
51.level	 Min Weight: 463,050 	Average :463,491
52.level	 Min Weight: 463,050 	Average :463,391
53.level	 Min Weight: 462,610 	Average :463,227
54.level	 Min Weight: 462,610 	Average :463,178
55.level	 Min Weight: 462,610 	Average :463,211
56.level	 Min Weight: 461,860 	Average :463,206
57.level	 Min Weight: 461,860 	Average :462,969
58.level	 Min Weight: 461,860 	Average :463,123
59.level	 Min Weight: 461,860 	Average :462,938
60.level	 Min Weight: 461,860 	Average :462,913
61.level	 Min Weight: 461,800 	Average :462,841
62.level	 Min Weight: 461,750 	Average :462,522
63.level	 Min Weight: 461,750 	Average :462,488
64.level	 Min Weight: 461,800 	Average :462,514
65.level	 Min Weight: 461,800 	Average :462,008
66.level	 Min Weight: 461,800 	Average :462,325
67.level	 Min Weight: 461,590 	Average :462,010
68.level	 Min Weight: 461,590 	Average :461,868
69.level	 Min Weight: 461,380 	Average :462,060
70.level	 Min Weight: 461,380 	Average :461,939
71.level	 Min Weight: 461,590 	Average :461,931
72.level	 Min Weight: 460,920 	Average :461,856
73.level	 Min Weight: 461,160 	Average :461,713
74.level	 Min Weight: 461,140 	Average :461,856
75.level	 Min Weight: 461,140 	Average :461,735
76.level	 Min Weight: 461,040 	Average :461,562
77.level	 Min Weight: 461,040 	Average :461,635
78.level	 Min Weight: 461,040 	Average :461,728
79.level	 Min Weight: 460,930 	Average :461,537
80.level	 Min Weight: 460,700 	Average :461,487
81.level	 Min Weight: 460,080 	Average :461,397
82.level	 Min Weight: 459,530 	Average :461,206
83.level	 Min Weight: 459,960 	Average :461,295
84.level	 Min Weight: 459,700 	Average :460,781
85.level	 Min Weight: 458,720 	Average :460,760
86.level	 Min Weight: 459,250 	Average :460,288
87.level	 Min Weight: 458,720 	Average :460,204
88.level	 Min Weight: 458,720 	Average :459,974
89.level	 Min Weight: 457,820 	Average :459,721
90.level	 Min Weight: 457,820 	Average :459,340
91.level	 Min Weight: 457,820 	Average :459,080
92.level	 Min Weight: 457,820 	Average :458,907
93.level	 Min Weight: 457,730 	Average :458,819
94.level	 Min Weight: 457,730 	Average :458,584
95.level	 Min Weight: 457,730 	Average :458,864
96.level	 Min Weight: 457,330 	Average :458,281
97.level	 Min Weight: 456,900 	Average :458,360
98.level	 Min Weight: 457,390 	Average :458,329
99.level	 Min Weight: 457,390 	Average :458,156

Minimum Weighted Vertex : 456.90000000000043
General Average : 465,119
