0.level	 Min Weight: 475,200 	Average : 479,745
1.level	 Min Weight: 475,200 	Average : 479,494
2.level	 Min Weight: 475,200 	Average : 478,601
3.level	 Min Weight: 475,200 	Average : 478,091
4.level	 Min Weight: 475,200 	Average : 477,032
5.level	 Min Weight: 475,200 	Average : 476,275
6.level	 Min Weight: 475,200 	Average : 475,515
7.level	 Min Weight: 475,200 	Average : 474,599
8.level	 Min Weight: 475,200 	Average : 474,196
9.level	 Min Weight: 474,940 	Average : 474,171
10.level	 Min Weight: 474,940 	Average : 474,170
11.level	 Min Weight: 474,940 	Average : 474,170
12.level	 Min Weight: 474,940 	Average : 474,168
13.level	 Min Weight: 474,940 	Average : 474,167
14.level	 Min Weight: 474,940 	Average : 474,166
15.level	 Min Weight: 474,940 	Average : 474,165
16.level	 Min Weight: 474,940 	Average : 474,159
17.level	 Min Weight: 474,940 	Average : 474,144
18.level	 Min Weight: 474,940 	Average : 474,140
19.level	 Min Weight: 473,830 	Average : 474,164
20.level	 Min Weight: 473,830 	Average : 474,650
21.level	 Min Weight: 473,830 	Average : 474,550
22.level	 Min Weight: 473,830 	Average : 474,450
23.level	 Min Weight: 473,830 	Average : 474,098
24.level	 Min Weight: 473,830 	Average : 473,941
25.level	 Min Weight: 473,830 	Average : 473,910
26.level	 Min Weight: 473,830 	Average : 473,870
27.level	 Min Weight: 473,830 	Average : 473,830
28.level	 Min Weight: 473,830 	Average : 473,830
29.level	 Min Weight: 473,830 	Average : 473,830
30.level	 Min Weight: 473,830 	Average : 473,830
31.level	 Min Weight: 473,830 	Average : 473,830
32.level	 Min Weight: 473,830 	Average : 473,830
33.level	 Min Weight: 473,830 	Average : 473,830
34.level	 Min Weight: 473,830 	Average : 473,830
35.level	 Min Weight: 473,830 	Average : 473,830
36.level	 Min Weight: 473,830 	Average : 473,830
37.level	 Min Weight: 473,580 	Average : 473,125
38.level	 Min Weight: 473,250 	Average : 473,124
39.level	 Min Weight: 473,250 	Average : 473,119
40.level	 Min Weight: 473,250 	Average : 473,117
41.level	 Min Weight: 473,250 	Average : 473,092
42.level	 Min Weight: 473,250 	Average : 473,075
43.level	 Min Weight: 473,250 	Average : 473,055
44.level	 Min Weight: 473,020 	Average : 473,020
45.level	 Min Weight: 473,020 	Average : 472,993
46.level	 Min Weight: 473,020 	Average : 472,938
47.level	 Min Weight: 473,020 	Average : 472,893
48.level	 Min Weight: 472,010 	Average : 472,934
49.level	 Min Weight: 472,970 	Average : 472,667
50.level	 Min Weight: 472,970 	Average : 472,564
51.level	 Min Weight: 472,670 	Average : 472,486
52.level	 Min Weight: 472,020 	Average : 472,476
53.level	 Min Weight: 472,020 	Average : 472,429
54.level	 Min Weight: 472,570 	Average : 472,453
55.level	 Min Weight: 472,570 	Average : 472,458
56.level	 Min Weight: 472,570 	Average : 472,427
57.level	 Min Weight: 472,570 	Average : 472,349
58.level	 Min Weight: 472,570 	Average : 472,377
59.level	 Min Weight: 472,570 	Average : 472,238
60.level	 Min Weight: 472,570 	Average : 472,216
61.level	 Min Weight: 472,570 	Average : 472,570
62.level	 Min Weight: 472,170 	Average : 472,208
63.level	 Min Weight: 472,170 	Average : 472,219
64.level	 Min Weight: 472,170 	Average : 472,206
65.level	 Min Weight: 472,170 	Average : 472,205
66.level	 Min Weight: 472,170 	Average : 472,153
67.level	 Min Weight: 472,170 	Average : 472,125
68.level	 Min Weight: 472,170 	Average : 472,058
69.level	 Min Weight: 472,170 	Average : 471,970
70.level	 Min Weight: 472,170 	Average : 471,906
71.level	 Min Weight: 472,170 	Average : 471,870
72.level	 Min Weight: 472,170 	Average : 471,870
73.level	 Min Weight: 472,170 	Average : 471,870
74.level	 Min Weight: 472,170 	Average : 471,870
75.level	 Min Weight: 472,170 	Average : 471,870
76.level	 Min Weight: 472,170 	Average : 471,870
77.level	 Min Weight: 471,370 	Average : 471,914
78.level	 Min Weight: 471,370 	Average : 471,918
79.level	 Min Weight: 471,370 	Average : 471,905
80.level	 Min Weight: 471,370 	Average : 471,825
81.level	 Min Weight: 471,370 	Average : 471,732
82.level	 Min Weight: 471,370 	Average : 471,472
83.level	 Min Weight: 470,247 	Average : 471,271
84.level	 Min Weight: 471,370 	Average : 471,370
85.level	 Min Weight: 471,370 	Average : 471,370
86.level	 Min Weight: 471,370 	Average : 471,370
87.level	 Min Weight: 471,370 	Average : 471,370
88.level	 Min Weight: 471,370 	Average : 471,370
89.level	 Min Weight: 471,370 	Average : 471,370
90.level	 Min Weight: 471,370 	Average : 471,370
91.level	 Min Weight: 471,370 	Average : 471,370
92.level	 Min Weight: 471,370 	Average : 471,370
93.level	 Min Weight: 471,370 	Average : 471,370
94.level	 Min Weight: 471,370 	Average : 471,370
95.level	 Min Weight: 471,370 	Average : 471,370
96.level	 Min Weight: 471,370 	Average : 471,370
97.level	 Min Weight: 471,370 	Average : 471,370
98.level	 Min Weight: 471,370 	Average : 471,370
99.level	 Min Weight: 471,370 	Average : 471,370

Minimum Weighted Vertex : 470,247
General Average : 473,09523
