0.level	 Min Weight: 473,030 	Average :479,904
1.level	 Min Weight: 473,030 	Average :480,077
2.level	 Min Weight: 473,030 	Average :478,686
3.level	 Min Weight: 473,030 	Average :477,741
4.level	 Min Weight: 473,030 	Average :476,080
5.level	 Min Weight: 471,150 	Average :475,022
6.level	 Min Weight: 471,150 	Average :473,657
7.level	 Min Weight: 471,150 	Average :472,910
8.level	 Min Weight: 471,150 	Average :472,501
9.level	 Min Weight: 471,150 	Average :472,621
10.level	 Min Weight: 471,150 	Average :472,448
11.level	 Min Weight: 470,340 	Average :472,367
12.level	 Min Weight: 470,340 	Average :471,525
13.level	 Min Weight: 470,340 	Average :470,946
14.level	 Min Weight: 470,340 	Average :470,705
15.level	 Min Weight: 470,340 	Average :470,641
16.level	 Min Weight: 470,340 	Average :470,583
17.level	 Min Weight: 470,340 	Average :470,453
18.level	 Min Weight: 470,340 	Average :470,220
19.level	 Min Weight: 470,340 	Average :470,094
20.level	 Min Weight: 470,340 	Average :470,067
21.level	 Min Weight: 470,340 	Average :470,076
22.level	 Min Weight: 470,340 	Average :470,071
23.level	 Min Weight: 469,940 	Average :470,074
24.level	 Min Weight: 469,940 	Average :470,068
25.level	 Min Weight: 469,940 	Average :470,070
26.level	 Min Weight: 469,940 	Average :470,071
27.level	 Min Weight: 469,940 	Average :470,050
28.level	 Min Weight: 469,940 	Average :470,015
29.level	 Min Weight: 469,940 	Average :469,990
30.level	 Min Weight: 469,940 	Average :469,916
31.level	 Min Weight: 469,940 	Average :469,846
32.level	 Min Weight: 469,940 	Average :469,810
33.level	 Min Weight: 469,940 	Average :469,813
34.level	 Min Weight: 469,210 	Average :469,809
35.level	 Min Weight: 469,210 	Average :469,815
36.level	 Min Weight: 469,210 	Average :469,818
37.level	 Min Weight: 469,210 	Average :469,809
38.level	 Min Weight: 469,210 	Average :469,803
39.level	 Min Weight: 469,210 	Average :469,770
40.level	 Min Weight: 469,210 	Average :469,644
41.level	 Min Weight: 469,210 	Average :469,467
42.level	 Min Weight: 469,210 	Average :469,289
43.level	 Min Weight: 469,210 	Average :469,235
44.level	 Min Weight: 469,210 	Average :469,223
45.level	 Min Weight: 469,210 	Average :469,221
46.level	 Min Weight: 468,390 	Average :469,214
47.level	 Min Weight: 468,390 	Average :469,224
48.level	 Min Weight: 468,390 	Average :469,194
49.level	 Min Weight: 468,390 	Average :469,164
50.level	 Min Weight: 468,390 	Average :469,242
51.level	 Min Weight: 468,390 	Average :469,200
52.level	 Min Weight: 468,390 	Average :469,178
53.level	 Min Weight: 468,390 	Average :469,020
54.level	 Min Weight: 468,390 	Average :468,698
55.level	 Min Weight: 468,390 	Average :468,508
56.level	 Min Weight: 468,390 	Average :468,410
57.level	 Min Weight: 468,390 	Average :468,392
58.level	 Min Weight: 468,390 	Average :468,390
59.level	 Min Weight: 468,390 	Average :468,388
60.level	 Min Weight: 468,390 	Average :468,388
61.level	 Min Weight: 468,390 	Average :468,392
62.level	 Min Weight: 467,510 	Average :468,396
63.level	 Min Weight: 467,260 	Average :468,387
64.level	 Min Weight: 467,260 	Average :468,360
65.level	 Min Weight: 467,420 	Average :468,370
66.level	 Min Weight: 466,820 	Average :468,387
67.level	 Min Weight: 466,820 	Average :468,324
68.level	 Min Weight: 466,820 	Average :468,247
69.level	 Min Weight: 466,820 	Average :468,045
70.level	 Min Weight: 466,820 	Average :467,803
71.level	 Min Weight: 466,820 	Average :467,570
72.level	 Min Weight: 466,820 	Average :467,551
73.level	 Min Weight: 466,820 	Average :467,420
74.level	 Min Weight: 466,730 	Average :467,175
75.level	 Min Weight: 466,730 	Average :467,043
76.level	 Min Weight: 466,730 	Average :466,975
77.level	 Min Weight: 466,070 	Average :466,976
78.level	 Min Weight: 466,070 	Average :466,966
79.level	 Min Weight: 466,070 	Average :466,980
80.level	 Min Weight: 466,070 	Average :466,958
81.level	 Min Weight: 466,070 	Average :466,919
82.level	 Min Weight: 466,070 	Average :466,944
83.level	 Min Weight: 466,070 	Average :466,783
84.level	 Min Weight: 466,070 	Average :466,667
85.level	 Min Weight: 466,070 	Average :466,459
86.level	 Min Weight: 466,070 	Average :466,285
87.level	 Min Weight: 466,070 	Average :466,258
88.level	 Min Weight: 465,790 	Average :466,257
89.level	 Min Weight: 465,790 	Average :466,192
90.level	 Min Weight: 465,790 	Average :466,391
91.level	 Min Weight: 465,790 	Average :466,251
92.level	 Min Weight: 465,790 	Average :466,248
93.level	 Min Weight: 465,790 	Average :466,239
94.level	 Min Weight: 465,790 	Average :466,215
95.level	 Min Weight: 464,860 	Average :466,135
96.level	 Min Weight: 464,860 	Average :466,053
97.level	 Min Weight: 464,860 	Average :466,095
98.level	 Min Weight: 464,860 	Average :466,072
99.level	 Min Weight: 464,860 	Average :466,016

Minimum Weighted Vertex : 464,860
General Average : 469,31445
