0.level	 Min Weight: 553,326	Average :565,204
1.level	 Min Weight: 553,326	Average :565,157
2.level	 Min Weight: 553,326	Average :563,766
3.level	 Min Weight: 553,326	Average :562,821
4.level	 Min Weight: 553,326	Average :561,160
5.level	 Min Weight: 551,460	Average :560,102
6.level	 Min Weight: 551,460	Average :558,737
7.level	 Min Weight: 551,460	Average :557,990
8.level	 Min Weight: 551,460	Average :557,581
9.level	 Min Weight: 551,460	Average :557,701
10.level	 Min Weight: 551,460 	Average :557,528
11.level	 Min Weight: 550,878 	Average :557,448
12.level	 Min Weight: 550,878 	Average :556,606
13.level	 Min Weight: 550,878 	Average :556,027
14.level	 Min Weight: 550,878 	Average :555,786
15.level	 Min Weight: 550,878 	Average :555,722
16.level	 Min Weight: 550,878 	Average :555,664
17.level	 Min Weight: 550,878 	Average :555,534
18.level	 Min Weight: 550,878 	Average :555,301
19.level	 Min Weight: 550,878 	Average :555,175
20.level	 Min Weight: 550,878 	Average :555,148
21.level	 Min Weight: 550,878 	Average :555,157
22.level	 Min Weight: 550,878 	Average :555,152
23.level	 Min Weight: 550,648 	Average :555,155
24.level	 Min Weight: 550,648 	Average :555,149
25.level	 Min Weight: 550,648 	Average :555,151
26.level	 Min Weight: 550,648 	Average :555,152
27.level	 Min Weight: 550,648 	Average :555,131
28.level	 Min Weight: 550,648 	Average :555,096
29.level	 Min Weight: 550,648 	Average :555,071
30.level	 Min Weight: 550,648 	Average :554,997
31.level	 Min Weight: 550,648 	Average :554,927
32.level	 Min Weight: 550,648 	Average :554,891
33.level	 Min Weight: 550,648 	Average :554,894
34.level	 Min Weight: 550,046 	Average :554,890
35.level	 Min Weight: 550,046 	Average :554,896
36.level	 Min Weight: 550,046 	Average :554,899
37.level	 Min Weight: 550,046 	Average :554,890
38.level	 Min Weight: 550,046 	Average :554,884
39.level	 Min Weight: 550,046 	Average :554,851
40.level	 Min Weight: 550,046 	Average :554,725
41.level	 Min Weight: 550,046 	Average :554,548
42.level	 Min Weight: 550,046 	Average :554,370
43.level	 Min Weight: 550,046 	Average :554,316
44.level	 Min Weight: 550,046 	Average :554,304
45.level	 Min Weight: 550,046 	Average :554,302
46.level	 Min Weight: 549,244 	Average :554,295
47.level	 Min Weight: 549,244 	Average :554,305
48.level	 Min Weight: 549,244 	Average :554,275
49.level	 Min Weight: 549,244 	Average :554,245
50.level	 Min Weight: 549,244 	Average :554,323
51.level	 Min Weight: 549,244 	Average :554,281
52.level	 Min Weight: 549,244 	Average :554,259
53.level	 Min Weight: 549,244 	Average :554,101
54.level	 Min Weight: 549,244 	Average :553,779
55.level	 Min Weight: 549,244 	Average :553,589
56.level	 Min Weight: 549,244 	Average :553,491
57.level	 Min Weight: 549,244 	Average :553,473
58.level	 Min Weight: 549,244 	Average :553,471
59.level	 Min Weight: 549,244 	Average :553,469
60.level	 Min Weight: 549,244 	Average :553,469
61.level	 Min Weight: 549,244 	Average :553,473
62.level	 Min Weight: 548,461 	Average :553,476
63.level	 Min Weight: 548,261 	Average :553,468
64.level	 Min Weight: 548,261 	Average :553,441
65.level	 Min Weight: 548,461 	Average :553,451
66.level	 Min Weight: 547,859 	Average :553,468
67.level	 Min Weight: 547,859 	Average :553,405
68.level	 Min Weight: 547,859 	Average :553,328
69.level	 Min Weight: 547,859 	Average :553,126
70.level	 Min Weight: 547,859 	Average :552,884
71.level	 Min Weight: 547,859 	Average :552,651
72.level	 Min Weight: 547,859 	Average :552,632
73.level	 Min Weight: 547,859 	Average :552,501
74.level	 Min Weight: 547,769 	Average :552,256
75.level	 Min Weight: 547,769 	Average :552,124
76.level	 Min Weight: 547,769 	Average :552,056
77.level	 Min Weight: 547,167 	Average :552,057
78.level	 Min Weight: 547,167 	Average :552,047
79.level	 Min Weight: 547,167 	Average :552,061
80.level	 Min Weight: 547,167 	Average :552,039
81.level	 Min Weight: 547,167 	Average :552,000
82.level	 Min Weight: 547,167 	Average :552,025
83.level	 Min Weight: 547,167 	Average :551,864
84.level	 Min Weight: 547,167 	Average :551,748
85.level	 Min Weight: 547,167 	Average :551,540
86.level	 Min Weight: 547,167 	Average :551,366
87.level	 Min Weight: 547,167 	Average :551,339
88.level	 Min Weight: 546,987 	Average :551,338
89.level	 Min Weight: 546,987 	Average :551,273
90.level	 Min Weight: 546,987 	Average :551,472
91.level	 Min Weight: 546,987 	Average :551,332
92.level	 Min Weight: 546,987 	Average :551,329
93.level	 Min Weight: 546,987 	Average :551,320
94.level	 Min Weight: 546,987 	Average :551,296
95.level	 Min Weight: 546,104 	Average :551,216
96.level	 Min Weight: 546,104 	Average :551,134
97.level	 Min Weight: 546,104 	Average :551,176
98.level	 Min Weight: 546,104 	Average :551,153
99.level	 Min Weight: 546,104 	Average :551,097

Minimum Weighted Vertex : 546,104
General Average : 554,3974807
