0.level	 Min Weight: 55,000 	Average :69,600
1.level	 Min Weight: 55,000 	Average :67,050
2.level	 Min Weight: 55,000 	Average :65,200
3.level	 Min Weight: 55,000 	Average :63,900
4.level	 Min Weight: 55,000 	Average :63,900
5.level	 Min Weight: 55,000 	Average :63,050
6.level	 Min Weight: 55,000 	Average :62,150
7.level	 Min Weight: 55,000 	Average :60,850
8.level	 Min Weight: 55,000 	Average :61,250
9.level	 Min Weight: 55,000 	Average :61,200
10.level	 Min Weight: 55,000 	Average :59,000
11.level	 Min Weight: 55,000 	Average :58,400
12.level	 Min Weight: 55,000 	Average :58,350
13.level	 Min Weight: 55,000 	Average :57,450
14.level	 Min Weight: 55,000 	Average :56,300
15.level	 Min Weight: 55,000 	Average :57,150
16.level	 Min Weight: 55,000 	Average :57,150
17.level	 Min Weight: 55,000 	Average :57,400
18.level	 Min Weight: 55,000 	Average :58,550
19.level	 Min Weight: 55,000 	Average :57,300
20.level	 Min Weight: 55,000 	Average :57,700
21.level	 Min Weight: 55,000 	Average :57,250
22.level	 Min Weight: 55,000 	Average :57,100
23.level	 Min Weight: 55,000 	Average :57,400
24.level	 Min Weight: 55,000 	Average :58,450
25.level	 Min Weight: 55,000 	Average :56,950
26.level	 Min Weight: 55,000 	Average :57,350
27.level	 Min Weight: 55,000 	Average :58,250
28.level	 Min Weight: 55,000 	Average :56,950
29.level	 Min Weight: 55,000 	Average :56,700
30.level	 Min Weight: 55,000 	Average :56,650
31.level	 Min Weight: 55,000 	Average :56,500
32.level	 Min Weight: 55,000 	Average :56,800
33.level	 Min Weight: 55,000 	Average :57,000
34.level	 Min Weight: 55,000 	Average :57,900
35.level	 Min Weight: 55,000 	Average :58,100
36.level	 Min Weight: 55,000 	Average :58,400
37.level	 Min Weight: 55,000 	Average :57,300
38.level	 Min Weight: 55,000 	Average :56,250
39.level	 Min Weight: 55,000 	Average :57,400
40.level	 Min Weight: 55,000 	Average :57,700
41.level	 Min Weight: 55,000 	Average :57,500
42.level	 Min Weight: 55,000 	Average :58,100
43.level	 Min Weight: 55,000 	Average :57,050
44.level	 Min Weight: 55,000 	Average :56,400
45.level	 Min Weight: 55,000 	Average :57,900
46.level	 Min Weight: 55,000 	Average :58,150
47.level	 Min Weight: 55,000 	Average :56,900
48.level	 Min Weight: 55,000 	Average :57,750
49.level	 Min Weight: 55,000 	Average :58,050
50.level	 Min Weight: 55,000 	Average :57,700
51.level	 Min Weight: 55,000 	Average :57,150
52.level	 Min Weight: 55,000 	Average :56,850
53.level	 Min Weight: 55,000 	Average :57,150
54.level	 Min Weight: 55,000 	Average :57,800
55.level	 Min Weight: 55,000 	Average :56,500
56.level	 Min Weight: 55,000 	Average :57,550
57.level	 Min Weight: 55,000 	Average :57,200
58.level	 Min Weight: 55,000 	Average :57,600
59.level	 Min Weight: 55,000 	Average :57,250
60.level	 Min Weight: 55,000 	Average :57,200
61.level	 Min Weight: 55,000 	Average :58,150
62.level	 Min Weight: 55,000 	Average :57,350
63.level	 Min Weight: 55,000 	Average :58,200
64.level	 Min Weight: 55,000 	Average :57,250
65.level	 Min Weight: 55,000 	Average :57,450
66.level	 Min Weight: 55,000 	Average :57,650
67.level	 Min Weight: 55,000 	Average :56,850
68.level	 Min Weight: 55,000 	Average :57,250
69.level	 Min Weight: 55,000 	Average :57,300
70.level	 Min Weight: 55,000 	Average :57,250
71.level	 Min Weight: 55,000 	Average :56,850
72.level	 Min Weight: 55,000 	Average :56,150
73.level	 Min Weight: 55,000 	Average :57,650
74.level	 Min Weight: 55,000 	Average :58,600
75.level	 Min Weight: 55,000 	Average :57,850
76.level	 Min Weight: 55,000 	Average :57,150
77.level	 Min Weight: 55,000 	Average :57,250
78.level	 Min Weight: 55,000 	Average :57,550
79.level	 Min Weight: 55,000 	Average :57,550
80.level	 Min Weight: 55,000 	Average :57,250
81.level	 Min Weight: 55,000 	Average :57,350
82.level	 Min Weight: 55,000 	Average :57,400
83.level	 Min Weight: 55,000 	Average :57,200
84.level	 Min Weight: 55,000 	Average :57,400
85.level	 Min Weight: 55,000 	Average :56,950
86.level	 Min Weight: 55,000 	Average :56,850
87.level	 Min Weight: 55,000 	Average :57,500
88.level	 Min Weight: 55,000 	Average :57,550
89.level	 Min Weight: 55,000 	Average :57,650
90.level	 Min Weight: 55,000 	Average :57,950
91.level	 Min Weight: 55,000 	Average :57,350
92.level	 Min Weight: 55,000 	Average :57,600
93.level	 Min Weight: 55,000 	Average :57,750
94.level	 Min Weight: 55,000 	Average :58,500
95.level	 Min Weight: 55,000 	Average :57,700
96.level	 Min Weight: 55,000 	Average :56,850
97.level	 Min Weight: 55,000 	Average :57,050
98.level	 Min Weight: 55,000 	Average :57,700
99.level	 Min Weight: 55,000 	Average :56,850

Minimum Weighted Clique : 55.0
General Average : 58,068
